x1,y1,x2,y2
5.08,3.04,5.42,2.54
11.29,0.92,9.00,1.04
14.50,0.72,14.00,0.13
17.29,0.94,18.33,0.00
21.44,2.69,22.00,2.39
26.83,4.37,26.00,4.38
33.96,4.67,32.42,4.24
36.02,5.70,38.33,5.78
44.88,6.18,48.00,5.99
