x1,y1,x2,y2
0.00,2.45,0.00,1.93
5.00,1.15,2.60,1.70
8.00,0.79,7.70,0.59
11.00,0.49,10.80,0.38
12.17,0.29,13.85,0.00
13.25,0.10,15.45,0.23
15.42,0.25,16.75,1.19
17.25,1.40,24.00,2.24
23.00,2.24,28.20,2.25
28,2.36,33.2,2.87
33,2.84,,
