x1,y1,x2,y2
6.00,3.85,1.00,3.57
9.42,0.59,6.42,4.00
11.83,0.01,9.50,0.23
13.58,0.23,11.08,0.00
17.85,0.77,13.08,0.33
19.92,3.03,16.75,1.11
22.38,3.36,18.00,1.16
,,22.42,3.54
,,25.00,3.72
