5.11	4		2.00	5.12
15.31	3.45	5.00	4.13
22.69	3.03	14.00	3.55
27.69	0.7		22.00	3.2
29.60	0.46	28.25	0.34
36.04	0.52	29.50	0
40.25	1.73	37.50	0.17
42.40	3.6		40.50	1.66
42.81	5.08	42.33	3.55
				44.00	6.18
