x1,y1,x2,y2
4.33,5.11,1.00,7.15
6.33,0.55,4.58,5.00
7.88,0.54,5.50,0.16
12.42,0.98,8.17,0.00
13.25,2.99,10.08,0.29
19.77,7.69,12.17,0.74
,,13.25,2.91
,,19.00,7.41
,,,
